firstname,lastname,ilkid,year,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
John,Stockton,StockJo01 ,1997.5,1.0,15.5,11.0,0.0,0.0,0.0,3.5,1.0,0.0,0.5,2.0,5.5,5.0,0.0,0.0,1.0,1.0
Julius,Erving,ErvinJu01 ,1973.0,1.0,28.0,19.0,4.666666666666667,3.0,7.666666666666667,5.333333333333333,0.6666666666666666,1.6666666666666667,2.3333333333333335,3.0,14.333333333333334,6.666666666666667,6.666666666666667,5.333333333333333,0.3333333333333333,0.3333333333333333
Karl,Malone,MalonKa01 ,1998.0,1.0,11.0,2.0,1.75,0.25,2.0,0.5,0.75,0.25,0.0,0.25,3.75,1.0,0.0,0.0,0.0,0.0
Kenyon,Martin,MartiKe01 ,2003.0,1.0,23.0,17.0,3.0,4.0,7.0,3.0,0.0,0.0,3.0,1.0,10.0,8.0,2.0,1.0,0.0,0.0
Kevin,Garnett,GarneKe01 ,1999.7142857142858,1.0,27.857142857142858,17.0,5.571428571428571,2.2857142857142856,7.857142857142857,3.2857142857142856,1.8571428571428572,1.1428571428571428,1.4285714285714286,1.0,14.571428571428571,7.714285714285714,1.5714285714285714,1.5714285714285714,0.5714285714285714,0.0
Kobe,Bryant,BryanKo01 ,2000.3333333333333,1.0,30.333333333333332,20.833333333333332,2.8333333333333335,1.6666666666666667,4.5,4.333333333333333,2.3333333333333335,0.5,2.6666666666666665,2.8333333333333335,17.166666666666668,8.666666666666666,2.6666666666666665,2.0,3.5,1.5
Larry,Kenon,KenonLa01 ,1973.5,1.0,19.0,15.0,4.5,0.5,5.0,0.5,0.0,0.0,2.0,0.5,11.5,7.0,1.5,1.0,0.0,0.0
Latrell,Sprewell,SprewLa01 ,1998.0,1.0,20.0,13.0,1.0,1.0,2.0,2.5,1.0,0.0,1.0,1.5,9.0,5.0,4.5,2.5,2.0,0.5
Louie,Dampier,DampiLo01 ,1973.0,1.0,24.333333333333332,12.333333333333334,2.0,0.0,2.0,0.6666666666666666,0.6666666666666666,0.0,1.6666666666666667,2.3333333333333335,11.0,6.0,0.0,0.0,1.0,0.3333333333333333
Mack,Calvin,CalviMa01 ,1973.0,1.0,26.0,12.666666666666666,1.3333333333333333,1.0,2.3333333333333335,8.666666666666666,1.0,0.0,3.6666666666666665,3.3333333333333335,11.333333333333334,3.3333333333333335,6.666666666666667,6.0,0.3333333333333333,0.0
Marvin,Barnes,BarneMa01 ,1974.0,1.0,21.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,13.0,6.0,4.0,4.0,0.0,0.0
Mel,Daniels,DanieMe01 ,1972.5,1.0,26.5,15.0,5.5,3.5,9.0,0.5,0.0,1.5,3.5,2.5,15.0,5.0,7.0,5.0,0.0,0.0
Michael,Finley,FinleMi01 ,1999.5,1.0,14.5,11.5,1.0,1.0,2.0,2.5,0.0,0.0,1.0,0.0,10.5,5.0,1.0,1.0,2.0,0.5
Michael,Jordan,JordaMi01 ,1999.0,1.0,29.0,16.25,5.0,1.5,6.5,6.0,2.25,0.0,2.0,2.0,18.0,7.0,3.0,2.0,0.75,0.25
Michael,Redd,ReddMi01  ,2003.0,1.0,15.0,13.0,1.0,2.0,3.0,2.0,3.0,0.0,1.0,0.0,12.0,5.0,0.0,0.0,6.0,3.0
Mike,Green,GreenMi01 ,1974.0,1.0,18.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0
Mitch,Richmond,RichmMi01 ,1996.5,1.0,19.5,8.5,1.5,0.5,2.0,3.0,0.0,0.0,0.5,0.5,9.0,3.5,0.0,0.0,3.0,1.5
Moses,Malone,MalonMo01 ,1974.0,1.0,20.0,6.0,7.0,3.0,10.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,5.0,2.0,0.0,0.0
Nick,Van Exel,VanexNi01 ,1997.0,1.0,20.0,13.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,14.0,5.0,2.0,2.0,6.0,1.0
Paul,Pierce,PiercPa01 ,2002.0,1.0,18.0,11.666666666666666,2.3333333333333335,1.0,3.3333333333333335,2.6666666666666665,2.0,0.0,1.0,1.3333333333333333,12.333333333333334,5.666666666666667,0.0,0.0,4.0,0.3333333333333333
Peja,Stojakovic,StojaPe01 ,2002.0,1.0,14.666666666666666,7.0,1.3333333333333333,0.6666666666666666,2.0,1.0,0.3333333333333333,0.0,1.0,0.0,7.333333333333333,2.6666666666666665,0.0,0.0,4.333333333333333,1.6666666666666667
Penny,Hardaway,HardaAn01 ,1996.0,1.0,24.0,19.0,3.0,4.0,7.0,3.0,2.0,0.0,1.0,2.0,10.0,7.0,2.0,2.0,5.0,3.0
Ralph,Simpson,SimpsRa01 ,1973.0,1.0,20.333333333333332,8.0,1.3333333333333333,1.0,2.3333333333333335,0.6666666666666666,1.0,0.0,2.6666666666666665,0.6666666666666666,11.0,3.6666666666666665,1.0,0.6666666666666666,0.0,0.0
Rasheed,Wallace,WallaRa01 ,1999.5,1.0,21.0,5.5,2.5,1.5,4.0,1.0,1.0,0.5,1.0,0.0,6.5,2.0,2.0,1.5,0.5,0.0
Ray,Allen,AllenRa02 ,2000.75,1.0,21.0,15.0,1.25,1.25,2.5,3.25,2.0,0.5,2.0,1.75,14.5,5.75,2.5,2.0,6.75,1.5
Reggie,Miller,MilleRe01 ,1998.0,1.0,20.5,9.5,1.0,0.0,1.0,1.5,1.0,0.0,0.5,1.5,7.5,3.5,2.0,1.5,4.0,1.0
Rich,Jones,JonesRi01 ,1972.5,1.0,16.5,2.0,4.0,2.0,6.0,1.5,0.0,0.5,2.0,2.5,9.5,1.0,0.0,0.0,0.5,0.0
Rick,Smits,SmitsRi01 ,1997.0,1.0,21.0,10.0,5.0,2.0,7.0,4.0,0.0,2.0,0.0,3.0,7.0,3.0,4.0,4.0,0.0,0.0
Ron,Artest,ArtesRo01 ,2003.0,1.0,17.0,7.0,2.0,1.0,3.0,3.0,1.0,0.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,0.0
Ron,Boone,BooneRo01 ,1973.5,1.0,23.5,12.5,1.0,1.5,2.5,3.5,1.0,1.0,1.0,2.5,10.5,5.5,1.0,1.0,1.0,0.5
Sam,Cassell,CasseSa01 ,2003.0,1.0,13.0,4.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
Scottie,Pippen,PippeSc01 ,1996.0,1.0,25.0,8.0,3.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,9.0,4.0,0.0,0.0,3.0,0.0
Shaquille,O'Neal,ONeaSh01  ,1999.3333333333333,1.0,23.0,17.666666666666668,5.666666666666667,3.0,8.666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,3.0,2.3333333333333335,14.666666666666666,8.0,3.6666666666666665,1.6666666666666667,0.0,0.0
Shaquille,O'Neal,ONeaSh11  ,2003.0,1.0,24.0,24.0,6.0,5.0,11.0,1.0,2.0,2.0,4.0,3.0,19.0,12.0,1.0,0.0,0.0,0.0
Shareef,A-Rahim,ABDURSH01 ,2001.0,1.0,21.0,9.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,1.0,1.0
Shawn,Kemp,KempSh01  ,1996.5,1.0,22.0,11.0,6.0,1.5,7.5,1.5,2.5,0.0,2.5,1.5,8.5,4.5,2.0,1.5,1.0,0.0
Shawn,Marion,MarioSh01 ,2002.0,1.0,23.0,8.0,2.0,5.0,7.0,4.0,3.0,1.0,0.0,1.0,9.0,4.0,0.0,0.0,1.0,0.0
Stephon,Marbury,MarbuSt01 ,2001.0,1.0,16.5,8.0,0.5,0.0,0.5,5.0,0.0,0.0,2.5,1.0,6.0,3.0,2.0,1.0,2.5,1.0
Steve,Francis,FrancSt01 ,2002.0,1.0,24.333333333333332,12.0,1.6666666666666667,1.0,2.6666666666666665,5.333333333333333,0.6666666666666666,0.0,2.0,1.0,9.666666666666666,5.333333333333333,0.6666666666666666,0.3333333333333333,2.0,1.0
Steve,Nash,NashSt01  ,2001.5,1.0,20.0,5.0,2.0,2.0,4.0,6.0,1.0,0.0,2.0,1.0,6.0,2.0,0.5,0.0,3.0,1.0
Steve,Smith,SmithSt01 ,1997.0,1.0,16.0,14.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,5.0,2.0
Stew,Johnson,JohnsSt03 ,1973.0,1.0,15.666666666666666,6.0,1.6666666666666667,1.0,2.6666666666666665,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,2.0,7.666666666666667,2.6666666666666665,0.6666666666666666,0.6666666666666666,1.0,0.0
Swen,Nater,NaterSw01 ,1973.5,1.0,27.0,20.5,6.0,7.5,13.5,0.5,0.0,1.0,2.0,2.5,18.5,9.0,3.0,2.5,0.0,0.0
Ted,McClain,McClaTe01 ,1973.0,1.0,25.0,12.0,1.0,2.0,3.0,4.0,2.0,0.0,1.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0
Terrell,Brandon,BrandTe01 ,1996.0,1.0,17.0,10.0,2.0,1.0,3.0,8.0,2.0,0.0,0.0,2.0,11.0,4.0,0.0,0.0,4.0,2.0
Tim,Duncan,DuncaTi01 ,2000.3333333333333,1.0,28.333333333333332,14.5,9.833333333333334,3.6666666666666665,13.5,2.8333333333333335,0.8333333333333334,0.6666666666666666,2.3333333333333335,1.5,11.5,6.5,1.8333333333333333,1.5,0.16666666666666666,0.0
Tim,Hardaway,HardaTi01 ,1996.5,1.0,15.5,9.0,2.0,0.0,2.0,4.0,0.5,0.0,4.0,0.5,9.0,3.5,0.0,0.0,5.5,2.0
Tom,Gugliotta,GugliTo01 ,1996.0,1.0,19.0,9.0,7.0,1.0,8.0,3.0,2.0,0.0,3.0,3.0,7.0,3.0,4.0,3.0,1.0,0.0
Tracy,McGrady,McGraTr01 ,2001.5,1.0,25.75,17.0,2.0,1.25,3.25,2.25,1.25,0.25,1.75,1.0,11.75,6.25,3.5,2.75,4.5,1.75
Vin,Baker,BakerVi01 ,1996.5,1.0,22.5,13.5,3.5,6.5,10.0,0.5,0.5,0.0,0.0,1.5,12.0,5.5,3.0,2.5,0.0,0.0
Vince,Carter,CarteVi01 ,2001.0,1.0,23.25,12.0,1.25,1.25,2.5,2.0,1.25,0.25,2.0,0.75,11.25,5.5,0.25,0.25,2.5,0.75
Vlade,Divac,DivacVl01 ,2000.0,1.0,9.0,8.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0
Wally,Szczerbiak,SzczeWa01 ,2001.0,1.0,12.0,10.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,3.0,2.0
Warren,Jabali,JabalWa01 ,1972.5,1.0,27.5,11.0,1.5,1.5,3.0,5.0,2.0,0.0,2.5,2.0,13.5,5.0,2.0,0.5,3.0,0.5
Willie,Wise,WiseWi01  ,1972.5,1.0,31.0,17.0,2.5,4.0,6.5,2.0,0.5,0.5,1.0,2.0,16.0,7.5,2.0,2.0,0.0,0.0
Yao,Ming,MingYa01  ,2002.5,1.0,17.5,9.0,2.0,1.0,3.0,0.5,0.0,0.0,0.0,1.5,7.5,4.5,0.0,0.0,1.0,0.0
Zelmo,Beaty,BeatyZe01 ,1972.0,1.0,15.0,6.0,4.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0
Zydrunas,Ilgauskas,IlgauZy01 ,2002.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
